"","matchId","type","duration","nGroups","maxPlace","nPlayers","nWinners"
"99","00992f0a7d0c70","squad",1768,29,29,94,3
"100","009ad4c8032917","squad-fpp",1965,29,30,94,3
"101","009df0937ef7a7","squad-fpp",1842,29,31,99,4
"102","009e6577f6d43e","squad-fpp",1872,28,28,93,4
"103","009e7861c29d27","duo",1354,45,47,91,2
"104","009f9888ea798d","duo",1788,48,48,96,2
"105","00a02b1f4add63","squad",1892,29,30,99,4
"106","00a21e8eac913b","solo-fpp",1483,93,95,95,1
"107","00a3f055d1b7c9","squad-fpp",1295,26,28,96,4
"108","00a4afdb911815","solo-fpp",1356,89,89,89,1
"109","00a5198da343b3","squad-fpp",1385,25,26,94,4
"110","00a68e345b7e14","squad-fpp",1395,26,27,92,4
"111","00af0cf2e3bfd6","squad-fpp",1320,28,31,95,4
"112","00af65eed431fd","solo-fpp",1947,90,93,93,1
"113","00b217e69ba569","duo",1982,37,43,82,2
"114","00b4fc825caff5","duo-fpp",1365,48,48,96,2
"115","00b513004f88aa","duo-fpp",1872,46,47,94,2
"116","00b552a5ff7e2f","duo-fpp",1494,50,50,98,2
"117","00b5f6d99afc06","squad",1974,26,26,94,1
"118","00b6482910e493","squad-fpp",1372,30,30,95,4
"119","00b7d667dbdc12","squad-fpp",1330,27,27,96,4
"120","00b819c069d144","duo",1520,42,49,92,2
"121","00b8cdec236db6","squad",1368,26,27,94,4
"122","00b9b730ca984d","duo",1905,44,46,90,2
"123","00ba2b958444a0","squad",1979,29,30,92,1
"124","00ba543b33f999","squad-fpp",2186,27,27,96,4
"125","00bbe656df29fb","squad",1405,28,29,90,4
"126","00bcb948cf008e","squad-fpp",1359,26,27,98,4
"127","00bde567279bca","squad",1768,26,28,99,4
"128","00bea017d36372","squad-fpp",1896,29,29,99,4
"129","00beb3dec3c507","squad-fpp",1876,28,29,97,3
"130","00bf40fb9aa15c","squad",1340,27,28,89,3
"131","00c0586a397e12","squad",1873,22,23,86,4
"132","00c0dcc021660e","squad-fpp",1403,28,29,94,3
"133","00c53f73f6ac12","solo",1382,95,98,98,1
"134","00c5555be6892e","duo-fpp",1389,47,48,96,2
"135","00c6ce68aebd56","solo-fpp",1356,94,96,96,1
"136","00c753af8e917b","squad",1611,26,27,98,3
"137","00c7eba155c6a6","squad-fpp",1287,27,28,91,4
"138","00c89945aa2e9f","squad-fpp",1401,26,28,97,4
"139","00c8ba4b170f30","squad-fpp",1717,29,30,98,3
"140","00ca766fde7113","duo-fpp",1467,43,49,95,2
"141","00ce6712c7f522","squad",1278,28,28,92,4
"142","00cea312eb05c3","squad-fpp",1821,28,30,97,4
"143","00cebe6dd639d0","squad-fpp",1789,27,27,90,3
"144","00cf0602f8f692","solo-fpp",1395,94,98,98,1
"145","00d37727276bae","solo-fpp",1915,95,99,99,1
"146","00d4a69342380a","duo",1376,45,49,97,2
"147","00d57a4e41920a","squad-fpp",1386,27,27,98,3
"148","00d5cb69beaff7","squad-fpp",1737,26,28,90,3
"149","00d6e4f6d28815","squad-fpp",1318,28,30,93,4
"150","00d76f8d3229dc","solo-fpp",1453,91,95,95,1
"151","00ddf3b6f5ee57","squad-fpp",1891,26,30,97,3
"152","00de3839a749e4","squad-fpp",1750,29,29,96,3
"153","00df303460dfe6","normal-squad-fpp",687,7,7,27,4
"154","00dfd4c3c0d54b","squad-fpp",1366,32,32,98,3
"155","00e0071b415b8e","squad-fpp",1404,33,33,94,3
"156","00e02731abd542","squad-fpp",1358,29,29,99,4
"157","00e0abcf6a7d35","squad-fpp",1408,28,28,93,1
"158","00e19486795c76","solo-fpp",1346,94,97,97,1
"159","00e30b1095aa54","squad-fpp",1859,25,28,90,4
"160","00e701c3e05f66","solo-fpp",1782,94,96,96,1
"161","00e74d5b3915ee","solo-fpp",1897,93,97,97,1
"162","00e75352abef09","duo-fpp",1379,48,49,98,2
"163","00e85e144ff4d2","duo-fpp",1891,46,48,95,2
"164","00ea5420acb932","squad-fpp",1339,26,28,95,4
"165","00eec84757e624","duo-fpp",1307,47,48,96,2
"166","00efee3dd33d5f","solo",1354,93,98,98,1
"167","00f0c1a7e9d00b","squad-fpp",1261,23,27,93,4
"168","00f2dad24ae3a1","squad-fpp",1284,27,28,86,4
"169","00f5b66c58ee30","squad-fpp",1352,26,26,95,4
"170","00f600051f84ac","squad-fpp",1386,26,28,84,4
"171","00f61eb430bf98","squad-fpp",1317,31,31,94,4
"172","00f626aafb683e","squad",1833,26,27,94,3
"173","00f744d0539faa","squad",1780,28,29,91,3
"174","00f80909b06cb9","squad-fpp",1377,28,28,94,3
"175","00f83247190d14","solo-fpp",1351,93,93,93,1
"176","00fcfd889a0373","duo-fpp",1774,45,48,95,2
"177","0101ab001bb2c2","solo",1808,2,16,16,3
"178","01033dca63072d","duo-fpp",1374,46,49,95,2
"179","01042751e50f77","squad-fpp",1746,26,28,91,4
"180","0104eeb664494d","normal-squad-fpp",1091,6,6,41,7
"181","0105ef51d974a3","squad",1957,26,27,99,4
"182","01063dbd0f1a46","squad-fpp",1410,28,28,99,4
"183","010732292c70e0","solo-fpp",2005,91,94,94,1
"184","010808e118725b","squad-fpp",1383,27,27,95,2
"185","010979e3dc5b35","duo-fpp",1325,47,49,97,2
"186","010e023d4b35d1","duo",1898,50,50,97,2
"187","01113288885b5b","squad-fpp",1387,28,28,93,2
"188","011275a6c8baa3","squad-fpp",1770,27,28,97,3
"189","01128b97288cbe","squad-fpp",1391,25,26,92,4
"190","01131bf72999aa","squad",1892,27,27,93,4
"191","01159477b625e1","duo-fpp",1414,49,49,97,2
"192","0116c7160de91e","duo-fpp",1300,47,49,96,2
"193","0118251e3e9a82","squad-fpp",1351,28,28,98,4
"194","011b0592429c85","squad",1398,24,24,88,4
"195","011cbe68b735e9","duo-fpp",1899,48,50,96,2
"196","011de21ab94726","squad-fpp",1970,26,28,95,3
"197","011f1afe2db83d","solo",1808,2,17,17,3
"198","012194512980ad","squad-fpp",1233,25,27,96,4
"199","01223b3a01f9dc","squad-fpp",1381,20,23,78,4
"200","0125f5e125774c","squad-fpp",1355,26,27,94,4
"201","01271fcdf0fcf6","duo",1376,46,46,91,2
"202","0128308b5c4181","squad-fpp",1292,27,27,97,4
"203","012caa60f24e48","squad",1437,27,28,94,4
"204","012dbeef7bd92c","squad-fpp",1399,29,29,94,3
"205","0130279f032add","squad-fpp",1793,30,30,93,4
"206","01308f8bfaa0c7","squad-fpp",1308,27,29,100,4
"207","0131033622536a","squad-fpp",1391,29,30,90,3
"208","013215d0bd1aa8","squad-fpp",1444,29,29,97,4
"209","0133230ce65515","solo",1946,87,92,92,1
"210","013399e7a29ee2","duo-fpp",1327,45,48,94,2
"211","013416a4b67171","duo-fpp",1749,45,46,90,2
"212","0135ba4ccece3f","squad-fpp",1381,27,27,99,4
"213","0136261ba00a89","squad-fpp",1374,28,30,96,4
"214","01370c58128112","duo",1964,44,45,89,2
"215","01371a46faff7d","duo-fpp",1450,46,46,91,2
"216","013a5a67ddd43d","squad-fpp",1501,28,28,100,4
"217","013bead1c1736c","squad-fpp",1758,26,27,87,3
"218","013f016f48d4a2","squad",1428,27,28,97,4
"219","01409494dfc0b9","squad-fpp",1832,27,30,96,3
"220","014231b728ec35","duo",1412,46,48,95,2
"221","01435d33376fd0","solo",1808,2,15,15,3
"222","01454e3483914b","squad-fpp",1969,26,27,93,3
"223","014754023f18c7","squad",1335,29,29,98,4
"224","0147b946393557","duo-fpp",1387,47,48,96,2
"225","01496a416b1389","duo",1444,47,48,96,2
"226","014a1d36a427ec","squad-fpp",1842,28,28,97,4
"227","014a6bcfd959ea","squad-fpp",1846,27,29,94,3
"228","014c020c90e5b5","duo-fpp",1332,46,50,98,2
"229","014c9660d1fe27","duo-fpp",1762,47,47,93,2
"230","014d0c4dc3a749","squad-fpp",1383,27,28,95,4
"231","014da08bd59094","solo-fpp",1418,94,94,94,1
"232","014df93c7dca83","squad-fpp",1918,25,28,94,4
"233","014eabcd4e7fff","squad-fpp",1889,28,30,91,4
"234","014edc7de73a8e","duo-fpp",1814,48,49,97,2
"235","014f0eac673783","normal-squad-fpp",1857,16,16,64,4
"236","01530800ed9120","squad-fpp",1378,26,26,88,4
"237","0153e9298bab08","solo-fpp",1982,93,95,95,1
"238","015921ecd34080","squad-fpp",1378,27,27,92,4
"239","015ab2998d0117","squad-fpp",1325,28,29,99,4
"240","015ab9741f95f0","squad-fpp",1364,29,30,98,1
"241","015b11a099e5fe","squad-fpp",1383,27,28,91,4
"242","015c7dc3bfecf6","solo",1808,2,16,16,2
"243","015e046cf159a9","squad",1797,28,28,96,4
"244","015e56e3d07b58","solo-fpp",1915,93,97,97,1
"245","015e759cb4446a","squad-fpp",1397,29,30,98,4
"246","0161ba61b1e774","squad",1301,27,27,90,4
"247","0161fee40a24da","duo-fpp",1283,49,49,98,2
"248","016228c624c5dd","duo-fpp",1861,48,48,95,2
"249","016286fd38276a","squad-fpp",1796,28,28,93,4
"250","0163118d163d25","squad-fpp",1397,28,29,95,4
"251","0163e226f77a1d","duo-fpp",1541,47,49,97,2
"252","0165d05e93e628","normal-squad-fpp",826,3,3,9,3
"253","016960566c8534","solo-fpp",1513,94,98,98,1
"254","0169b4ab1044fc","duo-fpp",1331,49,50,99,2
"255","016b3302e18038","squad-fpp",1313,29,30,99,4
"256","016b87b8a0bde8","duo-fpp",1945,45,47,94,2
"257","016c4b1866bece","duo-fpp",1321,42,45,88,2
"258","016d03d56d3dc1","normal-solo",918,10,15,16,1
"259","016e60648e137d","squad-fpp",1977,25,27,91,4
"260","016fffa735f4cc","squad",1379,26,27,95,4
"261","017006cd2ec72c","squad",1480,29,29,98,3
"262","01713b446ade98","squad-fpp",1310,27,28,96,4
"263","0172973e155efd","duo-fpp",1892,44,46,92,2
"264","01746be5c0673f","squad-fpp",1809,26,28,97,4
"265","0174a60c96779a","solo-fpp",1956,91,95,95,1
"266","0174d36366246a","solo-fpp",1353,97,99,99,1
"267","017544cfad208c","squad-fpp",1793,26,26,90,3
"268","017563d39f54b4","solo-fpp",1877,88,88,88,1
"269","01794e4f556206","squad-fpp",1242,26,26,85,1
"270","017b94842886a7","duo",2184,45,46,90,2
"271","017c8747880b20","squad",1367,28,29,95,3
"272","017e6d2834ab7c","squad-fpp",1204,29,29,96,4
"273","018449bc7cd25a","squad-fpp",1153,28,29,96,4
"274","018503d0dd55ab","duo",1873,45,48,95,2
"275","01863e14750a87","solo-fpp",1880,93,95,95,1
"276","0186bb2ca584a5","squad",1359,25,27,92,4
"277","01895138366438","duo",1368,47,48,95,2
"278","018cd44942e5a2","squad-fpp",1773,25,27,96,3
"279","018ce1772c2776","squad-fpp",1384,29,30,96,3
"280","018cee8ac43253","duo-fpp",1892,49,49,97,2
"281","018de2f59d132c","squad",1869,26,26,97,4
"282","018e73571e6a82","solo-fpp",1373,96,98,98,1
"283","018f044f465cc7","duo-fpp",1949,44,48,93,2
"284","01912c4c2f0ec6","squad-fpp",1324,26,27,96,4
"285","0192b29dc8f89b","duo-fpp",1442,50,50,100,2
"286","0194a2ee390e2e","squad-fpp",1781,25,28,93,4
"287","0195fbe135716e","solo",1808,2,16,16,4
"288","0196d98afb26d3","duo-fpp",1385,48,49,97,2
"289","019b23225e5331","squad-fpp",1890,30,30,97,3
"290","019e9035fb8c79","squad-fpp",2168,24,25,86,1
"291","019f5b580418ce","squad-fpp",1260,27,28,98,4
"292","01a06e138cf26a","squad-fpp",1734,23,27,94,4
"293","01a24aac437743","duo",1398,46,48,94,2
"294","01a29620375bce","squad-fpp",1325,28,29,96,4
"295","01a2b00bcb145e","squad-fpp",1910,27,27,97,3
"296","01a48d0bce97aa","squad-fpp",1881,26,27,93,3
"297","01a5d51e1018e0","duo-fpp",1283,47,48,95,2
"298","01a73788aa99fd","squad",1787,26,28,97,3
"299","01aaf6eb830922","squad-fpp",1393,28,28,97,3
"300","01acbd271229de","solo",1765,95,99,99,1
"301","01ad9ab6e931b8","solo",1808,2,17,17,1
"302","01adb3920f6338","duo-fpp",1884,47,48,95,2
"303","01aead02bb8901","solo",1808,2,20,20,4
"304","01b051aebc4bdd","solo-fpp",1382,96,97,97,1
"305","01b116e9d0846c","duo-fpp",1890,48,50,99,2
"306","01b131d27f0207","squad-fpp",1345,30,30,98,3
"307","01b181cc4ecc2c","squad-fpp",1957,27,29,95,4
"308","01b35e88217d94","squad-fpp",1785,28,28,98,4
"309","01b3c23a1ed090","squad-fpp",1815,29,29,95,4
"310","01b41568567016","duo-fpp",1365,46,50,97,2
"311","01b449c64981a0","squad-fpp",1382,22,26,94,4
"312","01b7924416d3b8","squad-fpp",1387,27,30,94,3
"313","01b8ec4da488d8","squad-fpp",1307,26,27,95,4
"314","01ba387ef658b2","duo-fpp",1306,47,49,95,2
"315","01c28d9fbb9223","duo",1408,45,49,95,2
"316","01c44a774e90ea","duo-fpp",1930,47,49,96,2
"317","01c492abbad889","squad-fpp",1940,28,30,99,4
"318","01c658dcf3a2a0","solo-fpp",1759,93,97,97,1
"319","01c7768d577799","squad",1896,29,30,95,4
"320","01ca563b808a48","squad",1439,28,30,82,2
"321","01cb6b50770d28","squad-fpp",1812,31,31,94,4
"322","01cc8f9b15d3d6","normal-duo-fpp",1887,27,27,50,2
"323","01ce13ad81c6f2","squad",1424,21,22,71,1
"324","01cfd363fff3ca","solo",1822,94,98,98,1
"325","01cfed81575ebc","squad-fpp",1352,28,29,93,3
"326","01d17a238bb722","squad-fpp",1305,28,29,94,4
"327","01d1d69fbf52b2","duo-fpp",1362,46,48,95,2
"328","01d34f57935546","duo-fpp",1366,45,48,94,2
"329","01d58b3ed6a362","squad-fpp",1394,27,27,94,4
"330","01d5f4e165b150","squad",1871,26,27,91,4
"331","01d61aefebc037","duo-fpp",1437,47,47,93,2
"332","01d6a4abab5e32","squad-fpp",1795,29,29,98,4
"333","01dbf53a1129e3","squad-fpp",1332,28,29,100,4
"334","01de7458fca397","solo-fpp",1413,95,97,97,1
"335","01e08c80004e4f","squad-fpp",1336,26,26,90,4
"336","01e09872221dec","squad",1395,25,26,96,3
"337","01e0c945a7a114","solo-fpp",1712,90,94,94,1
"338","01e4fa4d75e9f2","duo-fpp",1907,45,46,90,2
"339","01e63e00774742","squad",1938,27,27,95,4
"340","01e673f6c71906","squad-fpp",1343,28,29,99,4
"341","01e75f1ffc62e0","duo",1820,47,48,95,2
"342","01e836fb870acc","duo",1393,47,49,97,2
"343","01ea84f396e63a","squad-fpp",1334,27,28,98,4
"344","01ece17347457a","duo-fpp",1761,48,48,96,2
"345","01edfde303d176","solo-fpp",1883,93,97,97,1
"346","01ee716430b23a","solo",1808,2,18,18,5
"347","01eec3431aa6ed","squad-fpp",1273,27,28,95,4
"348","01ef23f9e7c2b5","solo-fpp",2064,94,98,98,1
"349","01ef93c8bc0357","duo-fpp",1804,46,49,97,2
"350","01f17234b6ee51","squad",1396,24,25,92,4
"351","01f48d8f2b2d40","duo-fpp",1289,43,46,90,2
"352","01f626b8b75e51","duo-fpp",1813,45,50,96,2
"353","01f77d147fdd4a","squad-fpp",1407,27,27,95,3
"354","01f8e99682199f","squad-fpp",1341,29,30,99,2
"355","01fadb593559c3","squad-fpp",1308,28,28,99,3
"356","01fbb2e93d5a80","solo-fpp",1340,96,98,98,1
"357","01fdf38b6b30a5","solo-fpp",1774,90,95,95,1
"358","01fe362e40ea2c","squad",1867,29,29,96,1
"359","02012d17afa6d7","squad-fpp",1298,27,27,99,4
"360","0201b9306b321d","solo-fpp",1308,93,96,96,1
"361","020271be215728","squad",1894,27,27,94,3
"362","020470a4bd774a","squad-fpp",1224,26,29,97,3
"363","0204aabec5a894","squad-fpp",1806,26,26,93,4
"364","020527dc69e7b9","duo",1301,49,49,98,2
"365","02063b8e91afed","duo-fpp",1883,48,49,97,2
"366","020b0802aba439","normal-squad-fpp",2162,16,16,57,3
"367","020d01b0842c08","solo-fpp",1876,97,99,99,1
"368","020fb6ef71638d","squad-fpp",1981,26,27,95,4
"369","0211af1f386a89","squad-fpp",1992,27,27,88,3
"370","021249bd945aaf","squad-fpp",1622,26,27,94,4
"371","021668b8787f47","duo-fpp",1474,47,50,97,2
"372","0217505480a507","squad",1460,28,28,97,4
"373","0219adeb247ade","squad",1813,26,28,93,4
"374","021bb104349ade","squad-fpp",1802,26,26,92,4
"375","021d805fdc4dfc","squad-fpp",1924,24,26,92,1
"376","02217036220289","squad",1928,26,27,96,4
"377","02219b7b766d3b","squad-fpp",1395,29,31,99,2
"378","0222045a962940","squad",1871,29,29,93,3
"379","0222fdb3e10712","squad-fpp",1332,28,29,96,4
"380","0223ecf4df64dc","squad-fpp",1885,31,31,100,3
"381","0224a0cb88a680","solo-fpp",1458,99,100,100,1
"382","02251f10f3f53a","duo-fpp",1378,50,50,100,2
"383","0227b0bc591912","squad-fpp",1375,29,29,95,4
"384","0228f9800b490b","duo-fpp",1904,46,48,94,2
"385","022a163e0d951e","solo",1387,89,93,93,1
"386","022a974df61a60","squad-fpp",1742,29,30,99,4
"387","022ad2dcb731f2","squad",1387,26,27,94,2
"388","022d1ec646ed21","squad-fpp",1905,26,28,96,3
"389","022d473d42f0cc","solo-fpp",1767,90,92,92,1
"390","022ebe70a8a19a","duo-fpp",1371,50,50,99,2
"391","0230929ccc548f","duo-fpp",1361,47,48,95,2
"392","0231af78de2294","squad",1377,27,27,98,4
"393","02363475d8664a","squad-fpp",1792,29,30,96,3
"394","02372fcedbdc5c","duo-fpp",1391,47,49,97,2
"395","0237cfda28f205","duo-fpp",1827,50,50,98,2
"396","0237f2eb2a15ce","duo-fpp",1386,48,48,96,2
"397","02386dde28201e","duo-fpp",1289,48,49,96,2
"398","0238dca37440fc","solo-fpp",1349,96,97,97,1
"399","02391429c399e0","squad-fpp",1370,27,27,97,4
"400","023a486070356e","squad-fpp",1862,29,30,97,3
"401","023e7d5684fe09","squad",1425,24,24,88,4
"402","024006b5d16772","duo-fpp",1367,46,48,96,2
"403","0243375788de49","squad-fpp",1381,29,30,96,4
"404","0243682108eba0","solo-fpp",1503,96,96,96,1
"405","02446e14ab61d5","squad-fpp",1896,28,30,96,4
"406","024647fcd887a6","squad-fpp",1367,32,32,97,2
"407","0247a90493763b","squad",1423,26,28,93,2
"408","0249eb2549b198","duo-fpp",1885,42,44,84,2
"409","024be83e62e932","duo-fpp",1257,44,46,90,2
"410","024c721fa7c5a9","duo-fpp",1435,46,47,94,2
"411","02509ed459fe8f","squad-fpp",1363,29,29,97,4
"412","02509f54c4fa2a","duo-fpp",1468,48,49,95,2
"413","0253dbcdbea1b3","solo-fpp",1884,89,94,94,1
"414","02540cf669474d","squad-fpp",1295,27,27,93,4
"415","02542d9a40817a","squad-fpp",1452,27,27,95,4
"416","0255fbabe5474a","duo",1377,48,49,98,2
"417","025b1fbe4bf4c9","solo-fpp",1919,91,94,94,1
"418","025c7d242515b5","duo-fpp",1782,46,48,95,2
"419","025dddfb3f9386","duo-fpp",1364,48,50,100,2
"420","025e4fdb2234f3","duo-fpp",1371,48,49,97,2
"421","025fee4b8bd481","duo-fpp",1900,44,46,91,2
"422","0260d850d1d382","duo-fpp",1877,47,48,96,2
"423","0261c3e6881977","squad-fpp",1352,27,27,98,4
"424","026334a6e9fb0d","squad",1956,27,29,97,2
"425","026349ed15aea9","solo-fpp",1896,99,99,99,1
"426","026411c1af2303","squad-fpp",1387,25,28,95,4
"427","0264ce86c5b838","solo-fpp",2028,90,92,92,1
"428","0265d30ceba194","solo-fpp",1419,97,97,97,1
"429","026723bbcb4374","duo-fpp",1413,46,48,95,2
"430","026768c6938929","duo-fpp",1850,46,48,95,2
"431","02698f283e3889","squad-fpp",1375,28,29,99,4
"432","026a721f307c2a","duo-fpp",1320,47,49,98,2
"433","026d365696f8eb","duo-fpp",1773,48,48,95,2
"434","02708bb073a20e","solo",1379,97,100,100,1
"435","027166d2797487","squad-fpp",1837,28,28,91,4
"436","027289cb33812b","duo-fpp",1779,43,46,91,2
"437","02730181a483db","duo-fpp",1840,45,47,93,2
"438","027740505fd789","squad-fpp",1400,26,27,96,3
"439","02777f0c7ca909","squad",1451,25,28,93,2
"440","02785af028c58f","squad-fpp",1372,28,30,93,4
"441","027881b100d325","duo-fpp",1358,49,49,96,2
"442","027969487ae2c8","solo-fpp",1901,97,99,99,1
"443","027c9b5f5d4855","squad",1400,27,27,95,4
"444","027d078d3b0ed0","squad-fpp",1896,27,28,96,4
"445","027d28923671bb","solo-fpp",1350,92,96,96,1
"446","027eac91454d75","solo-fpp",1377,90,92,92,1
"447","0280180172bd50","squad-fpp",1444,26,27,98,4
"448","02806681af1573","squad-fpp",1414,32,32,96,1
"449","0283187055f07d","duo-fpp",1379,49,49,97,2
"450","02857d2b8f468f","squad-fpp",1264,27,28,93,4
"451","0286e04ed72d41","duo-fpp",1932,45,47,94,2
"452","0287a3001f1447","normal-squad-fpp",630,8,8,40,7
"453","028ac5a4aaf3b4","solo-fpp",1376,94,96,96,1
"454","028d1506521416","squad-fpp",1377,26,27,95,4
"455","028dbc7f465644","squad-fpp",1885,29,29,97,4
"456","028ebb4d393253","solo-fpp",1788,89,94,94,1
"457","029056c90559ab","squad",1306,28,28,98,3
"458","02916a3c3e4c0e","duo-fpp",1902,44,47,94,2
"459","0291abae09b956","solo-fpp",1355,97,99,99,1
"460","02921cb9b336eb","duo-fpp",1287,48,49,97,2
"461","029223fabde6a1","solo-fpp",1455,94,95,95,1
"462","02937d280a571e","squad-fpp",1852,25,26,91,4
"463","0293c2c8d07331","duo-fpp",1309,49,49,97,2
"464","02954a1ce681c0","squad-fpp",1377,27,27,88,4
"465","0295dbf8389291","squad",1377,26,27,95,4
"466","02985d1bc04985","solo-fpp",1465,98,99,99,1
"467","029967c82c0eda","duo",1362,49,49,98,2
"468","029ae9fb70875a","squad-fpp",1894,26,27,98,4
"469","029af21ece3a8f","squad-fpp",1275,26,26,91,4
"470","029b8d960efd17","duo-fpp",1801,31,33,66,2
